1	1.0	1.0	1.0	1.0
51	9.8	1.2	1.0	1.0
101	9.8	1.2	1.0	1.0
151	9.9	1.4	1.0	1.0
201	9.8	1.6	1.0	1.0
251	9.7	1.8	1.3	1.0
301	9.9	1.9	1.5	1.0
351	9.9	2.1	1.8	1.2
401	9.9	2.3	2.0	1.3
451	9.8	2.5	2.2	1.4
501	9.8	2.7	2.5	1.4
551	9.8	3.0	2.8	1.5
601	9.8	3.1	3.0	1.5
651	9.9	3.4	3.3	1.6
701	9.9	3.6	3.5	1.7
751	9.8	3.8	3.7	1.7
801	9.8	4.1	4.0	1.7
851	9.9	4.3	4.2	1.8
901	9.9	4.5	4.5	1.8
951	9.9	4.8	4.7	1.8
1001	9.9	5.0	5.0	1.8
1051	9.9	5.2	5.2	1.8
1101	9.8	5.5	5.5	1.9
1151	9.9	5.7	5.7	1.9
1201	9.9	6.0	6.0	1.9
1251	9.9	6.2	6.2	1.9
1301	9.9	6.5	6.5	2.0
1351	9.9	6.7	6.7	2.0
1401	9.9	7.0	6.9	2.0
1451	9.9	7.2	7.2	2.0
1501	9.9	7.5	7.4	2.1
1551	9.9	7.7	7.6	2.1
1601	9.9	7.9	8.0	2.2
1651	9.9	8.2	8.2	2.2
1701	9.9	8.4	8.5	2.3
1751	9.9	8.7	8.7	2.3
1801	9.8	8.9	8.9	2.5
1851	9.9	9.2	9.1	2.6
1901	9.9	9.4	9.4	2.6
1951	9.9	9.6	9.6	2.8
2001	9.9	9.9	9.9	3.0
